w,c,zh,en,us,core,ex,exz
come,op,"来,前来",move toward the speaker or a place,/kʌm/,朝说话者或目标靠近，让彼此距离变短。,Come here when you're ready.,准备好了就过来。
get,op,"得到,获得;变得","obtain, become, or receive",/ɡɛt/,把东西收到手里，或让状态变成新的样子。,I'll get a new book tomorrow.,我明天会买本新书。
give,op,"给,赠予",transfer something to another,/ɡɪv/,把自己这边的东西交到别人那边，让所有权换手。,Please give me your hand.,请把手伸给我。
go,op,"去,离开",move away or proceed,/ɡoʊ/,离开当前位置，朝另一个地方移动过去。,We go to school every day.,我们每天都去学校。
keep,op,"保持,保留",hold or maintain in a state,/kip/,把东西或状态留住，不让它跑掉或改变。,"Keep the door open, please.",请让门开着。
let,op,"让,允许",allow or permit,/lɛt/,把拦住的门打开，让别人可以自由去做某事。,Let me try it once more.,让我再试一次。
make,op,"做,制造","create, build, or cause",/meɪk/,动手造成一个东西，或让事情变成某种样子。,She made a cake for us.,她为我们做了个蛋糕。
put,op,"放,置",place in a position,/pʊt/,把东西安放到某个位置上，让它停在那里。,Put the book on the table.,把书放在桌上。
seem,op,"似乎,看起来",appear or give the impression,/sim/,外表给人一种感觉，像是某种情况正在那里。,You seem tired today.,你今天看起来很累。
take,op,"拿,带走","grasp, carry, or accept",/teɪk/,伸手拿住并带走，或把递来的东西接过来。,Take this letter to her.,把这封信带给她。
be,op,"是,存在",exist or have a state,/bi/,人或东西就在那里，并处在某种样子里。,To be or not to be.,生存还是毁灭。
do,op,"做,执行",perform an action,/du/,把想做的事落到手上，真的动起来完成它。,Do your work first.,先做你的工作。
have,op,"有,拥有",possess or hold,"/hæv/, /həv/",某物在自己这边，归自己掌握或随身带着。,I have two sisters.,我有两个姐妹。
say,op,"说,讲",speak or state aloud,/seɪ/,把心里的话用声音或文字送到外面，让别人接到。,What did you say to him?,你对他说了什么?
see,op,"看见,理解",perceive with eyes or mind,/si/,眼睛接住画面，心里也可能跟着看明白。,I see what you mean.,我明白你的意思了。
send,op,"送,寄",cause to go or be delivered,/sɛnd/,让人或东西从这里出发，去到指定的另一边。,Send the parcel by post.,通过邮寄把包裹寄出去。
may,op,"可以,可能",possibility or permission,/meɪ/,门没有关死，事情有机会发生，也可能被允许。,You may go now.,你现在可以走了。
will,op,"将,会",future or intention,"/wɪl/, /wəl/",意愿或安排朝将来伸出去，准备在那里发生。,I will help you.,我会帮你的。
about,op,"关于,大约",concerning or approximately,/əˈbaʊt/,话题围着某件事转，数量也可能只在附近。,Tell me about your trip.,跟我说说你的旅行。
across,op,"穿过,横越",from one side to another,/əˈkɹɔs/,从一边横过去，穿过中间来到另一边那头。,Walk across the bridge.,从桥上走过去。
after,op,在...之后,later in time or behind,/ˈæftɝ/,跟在某时某物后面，顺序落在它的后头。,Come after lunch.,午饭后过来。
against,op,"反对,靠着",in opposition to or touching,"/əˈɡenst/, /əˈɡeɪnst/",迎着相反力量顶上去，或身体贴到某物上。,The ladder leans against the wall.,梯子靠在墙上。
among,op,在...之中,in the middle of a group,/əˈmʌŋ/,被一群人或物围住，落在它们中间的位置。,She is popular among her friends.,她在朋友中很受欢迎。
at,op,"在,于",specific location or time,"/æt/, /ət/",把目光钉在一个精确的点上，可能是地点或时刻。,Meet me at the station.,在车站见我。
before,op,在...之前,earlier in time or position,/ˌbiˈfɔɹ/,排在某事前面，时间或位置都更早一些。,Wash hands before eating.,吃饭前先洗手。
between,op,在...之间,in the space separating two things,/bitˈwin/,落在两个东西中间，被两边夹在当中位置。,Sit between us.,坐在我们中间。
by,op,"通过,在旁","via, near, or no later than",/baɪ/,靠在某处旁边，或借某条路、某个人完成。,The book was written by her.,这本书是她写的。
down,op,"向下,在下",to or in a lower position,/daʊn/,朝低处去，位置顺着方向一点点往下落。,"Sit down, please.",请坐下。
from,op,"从,来自",indicating origin or starting point,/frəm/,离开起点，带着来源的痕迹一路向外出来。,I come from China.,我来自中国。
in,op,在...里,inside or within,/ɪn/,被放进里面，处在边界包住的空间之中。,She is in the room.,她在房间里。
off,op,"离开,关",away from or disconnected,/ɔf/,从接触处脱开，离开原来的连接或开关。,Turn off the light.,把灯关掉。
on,op,"在...上,开",in contact with the surface,/ɑn/,贴在表面上，或让机器进入工作状态里。,The cat is on the chair.,猫在椅子上。
over,op,"在...上方,超过",above or more than,/ˈoʊvɝ/,在上方越过，或数量盖过某个限度线之上。,The plane flew over the city.,飞机飞过城市上空。
through,op,"穿过,通过",from one side to the other,/θɹu/,从里面穿过去，一头进去再从另一头出来。,Walk through the door.,穿过那扇门。
to,op,"到,向",toward or until,"/tu/, /tə/",朝目标走去，方向一直指到某个终点那里。,I'm going to bed.,我要去睡觉了。
under,op,在...下,beneath or lower than,/ˈʌndɝ/,压在或藏在下方，被上面的东西盖住遮住。,The cat hides under the bed.,猫藏在床下。
up,op,向上,to or in a higher position,/ʌp/,朝高处去，位置顺着方向一点点往上升。,Look up at the sky.,抬头看天空。
with,op,和...一起,together or accompanied by,"/wɪð/, /wɪθ/",和某人某物在一起，动作或状态彼此相伴。,Come with me.,跟我来。
as,op,"作为,当...时",in the role of or while,"/æz/, /əz/",把人或事放进某个身份、样子，或同一时间里。,He works as a teacher.,他当老师。
for,op,"为了,因为",intended for or because of,"/fɔɹ/, /fɚ/",心思或用途朝向某人某事，背后带着原因。,This gift is for you.,这礼物是给你的。
of,op,...的,belonging to or related to,"/ʌv/, /əv/",把一个东西连到它的所属、来源或组成上。,A friend of mine.,我的一个朋友。
till,op,直到,up to a certain time,/tɪl/,时间一路延到某个点，到了那里才停下来。,Wait till noon.,等到中午。
than,op,比,used in comparisons,"/ðæn/, /ðən/",把两边拉出来比较，看哪一边更怎样一些。,She is taller than me.,她比我高。
a,op,一个,"indefinite article, one of","/ə/, /eɪ/",从同类中随手拎出一个，不指定具体是哪一个。,I saw a dog.,我看见一只狗。
the,op,"那个,这个","definite article, specific","/ðə/, /ðiː/",手指点向已知道的那一个，不是随便一个。,The book is on the desk.,那本书在桌上。
all,op,"全部,所有",the whole quantity of,/ɔl/,把一整堆都收进来，一个也不落在外面。,All children love play.,所有孩子都爱玩。
any,op,任何,"one or some, no matter which",/ˈɛni/,随便哪一个都可以，不需要先挑定对象。,Do you have any money?,你有钱吗?
every,op,每个,each one without exception,/ˈɛvɝi/,一个接一个全算进去，没有任何一个漏掉。,Every day brings hope.,每天都带来希望。
little,op,"少,小",small in amount or size,/ˈlɪtəl/,数量或尺寸很小，只占很少的一点点空间。,Add a little salt.,加一点点盐。
much,op,"许多,大量",a large amount of,/mʌtʃ/,量堆得很多，感觉分量很足很满很重。,Thank you very much.,非常感谢你。
no,op,"不,没有",negation or refusal,/noʊ/,把可能性关掉，留下空无、拒绝或不存在。,No water is left.,没有水剩下了。
other,op,"其他的,另外的",different or additional,/ˈʌðɝ/,从眼前这个换到另一个不同的对象那边。,Try the other door.,试试另一扇门。
some,op,一些,an unspecified amount,/sʌm/,拿出一点或几个，但不把全部数量说清楚。,Have some tea.,喝点茶吧。
such,op,这样的,of that kind or degree,/sʌtʃ/,把眼前东西归到这种样子、这种程度里。,Such a kind man!,多么善良的人啊!
that,op,那个,referring to something distant,"/ðæt/, /ðət/",手指向较远处，或指回已经提到的那个东西。,That book is mine.,那本书是我的。
this,op,这个,referring to something near,/ðɪs/,手指向眼前近处，或正在谈的这个东西。,This is my house.,这是我家。
I,op,我,the speaker himself or herself,/aɪ/,说话的人把自己放在句子中心，从自己出发。,I love reading.,我喜欢阅读。
he,op,他,a male person previously mentioned,/hi/,把话里的男性单独拎出来，继续指向他。,He is my brother.,他是我兄弟。
you,op,"你,你们",the person spoken to,"/ju/, /jə/",说话时把目光对准听话的人，让话落到对方身上。,You are very kind.,你真好。
who,op,谁,asking which person,/hu/,把问题投向某个人，追问到底是哪一位。,Who is that man?,那个人是谁?
and,op,"和,与",connecting two similar things,"/ænd/, /ənd/",把两个想法或东西并排接上，让它们同在。,Tom and Jerry.,汤姆和杰瑞。
because,op,因为,giving a reason,/bɪˈkɑz/,在事情后面接上一条原因，说明为什么会这样。,I'm late because of traffic.,我迟到是因为堵车。
but,op,但是,introducing a contrast,/bʌt/,前后方向忽然一转，后面挡住前面的预期。,Small but strong.,小但强壮。
or,op,或者,presenting alternatives,"/ɔɹ/, /ɚ/",摆出几条可能的路，让人从中挑选一条。,Tea or coffee?,茶还是咖啡?
if,op,如果,introducing a condition,/ɪf/,先放一个条件，条件成立时事情才往下走。,"If it rains, stay home.",如果下雨就待在家。
though,op,尽管,despite the fact that,/ðoʊ/,先承认阻碍还在，事情却仍然照样发生。,"Though tired, she smiled.","尽管累,她还是笑了。"
while,op,"当...时,虽然",during the time that,/waɪl/,两件事在同一段时间里一起并行发生。,Read while you eat.,边吃边读。
how,op,"怎样,如何",in what way or manner,/haʊ/,追问动作走哪条路、用什么方式完成它。,How do you do it?,你是怎么做的?
when,op,什么时候,at what time,/wɛn/,把问题钉到时间点上，问事情何时发生。,When did you arrive?,你什么时候到的?
where,op,在哪里,in or at what place,/wɛɹ/,把问题钉到地点上，问东西到底落在哪里。,Where is the key?,钥匙在哪儿?
why,op,为什么,for what reason,/waɪ/,往事情背后追，寻找推动它发生的原因。,Why are you sad?,你为什么难过?
again,op,再一次,one more time,"/əˈɡen/, /əˈɡeɪn/",同一个动作或情况重新出现，再来一遍。,Try again later.,待会儿再试。
ever,op,"曾经,永远","at any time, always",/ˈɛvɝ/,把时间范围打开，问任意时候是否发生。,Have you ever been to Paris?,你去过巴黎吗?
far,op,远,at a great distance,/fɑɹ/,距离被拉长，离这里或目标变得很远很远。,How far is the station?,车站有多远?
forward,op,向前,toward the front,/ˈfɔɹwɝd/,朝脸所向的前方推进，往前走出一步去。,"Step forward, please.",请向前走一步。
here,op,这里,in or to this place,/hiɹ/,说话者所在或手正指着的这个地方这里。,"Come here, please.",请到这里来。
near,op,靠近,at a short distance,/nɪɹ/,距离很短，已经靠得几乎贴到身边附近。,He lives near the park.,他住在公园附近。
now,op,现在,at the present time,/naʊ/,时间落在正在发生的这一刻，不是过去将来。,Do it now.,现在就做。
out,op,"在外,出去",away from inside,/aʊt/,从里面离开，跨出边界来到外面空间。,Go out and play.,出去玩吧。
still,op,仍然,continuing up to now,/stɪl/,到现在还没有停，原来的状态继续留着。,He is still working.,他还在工作。
then,op,"那时,然后",at that time or next,/ðɛn/,时间走到那一刻，或下一步顺着接上来。,"First eat, then sleep.","先吃饭,然后睡觉。"
there,op,那里,in or at that place,/ðɛɹ/,指向离说话者较远处的那个地方那边。,Sit over there.,坐到那边去。
together,op,一起,in one group or company,/təˈɡɛðɝ/,分开的东西聚到一处，彼此靠拢一起行动。,We sing together.,我们一起唱歌。
well,op,"好,健康地",in a good way,/wɛl/,事情进行得顺、稳、好，身体状态也正常。,She speaks English well.,她英语说得好。
almost,op,几乎,very nearly but not completely,/ˈɔlmoʊst/,离完成只差一点，已经很近但还没完全到。,It's almost done.,快做完了。
enough,op,足够,as much as needed,/iˈnʌf/,数量刚好够用，不缺也不必继续再添加。,That's enough food.,食物够了。
even,op,甚至,used for emphasis,/ˈivɪn/,把意外的一项也拉进来，让语气分量更强。,Even a child knows that.,连小孩都知道。
not,op,"不,没有",used to make negative,/nɑt/,在判断前放一堵墙，把后面的说法否定掉。,I do not agree.,我不同意。
only,op,"只,仅仅","no more than, just",/ˈoʊnli/,把范围缩到这一点，其他多的都排除出去。,Only one left.,只剩一个了。
quite,op,"相当,完全",to a considerable extent,/kwaɪt/,程度推得比较满，让感觉明显甚至完全。,It's quite cold today.,今天相当冷。
so,op,"如此,所以","to such a degree, therefore",/soʊ/,程度推到这个样子，或顺着它接出结果。,I'm so tired.,我太累了。
very,op,非常,to a high degree,/ˈvɛɹi/,把程度再往上加，强调强度已经很高很高。,She is very kind.,她非常善良。
tomorrow,op,明天,the day after today,/təˈmɑˌɹoʊ/,今天之后紧接着到来的那一天，还没发生。,See you tomorrow.,明天见。
yesterday,op,昨天,the day before today,/ˈjɛstɝˌdeɪ/,今天之前刚过去的那一天，已经留在身后。,It rained yesterday.,昨天下雨了。
north,op,北,the direction to one's right when facing the setting sun in northern hemisphere,/nɔɹθ/,朝地图上方或指南针北端所指的方向前进。,Go north for two miles.,向北走两英里。
south,op,南,the opposite direction of north,/saʊθ/,朝北的反面走，通常是地图下方的方向。,Birds fly south in winter.,鸟儿冬天飞向南方。
east,op,东,the direction of the rising sun,/ist/,朝太阳升起的一边，也就是地图右侧的方向。,The sun rises in the east.,太阳从东方升起。
west,op,西,the direction of the setting sun,/wɛst/,朝太阳落下的一边，也就是地图左侧的方向。,Drive west to reach the coast.,向西开就到海岸了。
please,op,请,used in polite requests,/pliz/,把请求说得柔和，让对方更愿意帮忙回应。,Please be quiet.,请安静。
yes,op,是的,affirmative answer,/jɛs/,把对方的话接住，并点头认可它是真的。,"Yes, I agree.","是的,我同意。"
account,gt,账户;描述,record of money or events,/əˈkaʊnt/,把钱、事情或经过记录成可追踪的一份账。,Open a bank account.,开一个银行账户。
act,gt,行为;法案,a thing done or a law,/ækt/,一件已经做出来的事，也可是一条成文规则。,It was a kind act.,那是个善举。
addition,gt,加法;增加,the act of adding,/əˈdɪʃən/,把新的东西加进去，让原来的数或内容变多。,"In addition, she sings.","此外,她还唱歌。"
adjustment,gt,调整,a small change to improve,/əˈdʒʌstmənt/,轻轻改一点位置或做法，让整体更合适。,Make a small adjustment.,做一点小调整。
advertisement,gt,广告,public notice to promote,/ˌædvɝˈtaɪzmənt/,把商品或消息摆到众人面前，催人注意和购买。,I saw the advertisement online.,我在网上看到了那广告。
agreement,gt,"协议,同意",shared decision between parties,/əˈɡɹimənt/,几方把想法对齐，定下一起认可的说法或做法。,We reached an agreement.,我们达成了协议。
air,gt,空气,the mixture of gases we breathe,/ɛɹ/,围在身边、能吸进肺里、看不见却会流动的气。,Open the window for fresh air.,开窗透透气。
amount,gt,"数量,总数",quantity of something,/əˈmaʊnt/,把一堆东西合起来看时，心里得到的多少。,A large amount of water.,大量的水。
amusement,gt,"娱乐,乐趣",the feeling of being entertained,/əmˈjuzmənt/,被有趣的事逗到，心里放松发笑的感觉。,"To my amusement, he sang.",令我开心的是他唱歌了。
animal,gt,动物,"a living creature, not plant",/ˈænəməl/,会吃会动会长大的活物，不是植物也不是机器。,The dog is a friendly animal.,狗是友善的动物。
answer,gt,"答案,回答",a reply to a question,/ˈænsɝ/,问题抛过来后，接回去的那句话或结果。,Give me your answer.,给我你的回答。
apparatus,gt,"器械,设备",equipment for a specific use,/ˌæpɝˈætəs/,为某个具体用处摆好的一套工具和装置。,The lab has new apparatus.,实验室有新设备。
approval,gt,"批准,赞同",an expression of agreement,/əˈpɹuvəl/,点头同意并放行，让某事可以继续往前走。,She nodded with approval.,她点头表示赞同。
argument,gt,"争论,论点",a disagreement or reasoning,/ˈɑɹɡjəmənt/,两边话顶着话，或拿理由支撑自己的说法。,They had a long argument.,他们争论了很久。
art,gt,艺术,creative expression by humans,/ɑɹt/,人把感觉、想象和手艺做成能被看见的东西。,She studies modern art.,她学现代艺术。
attack,gt,攻击,violent action against,/əˈtæk/,带着伤害目的冲过去，对对方发起打击。,The attack came at dawn.,攻击发生在黎明。
attempt,gt,尝试,an effort to do something,/əˈtɛmpt/,还没保证成功，但已经伸手去试着做一把。,Make an attempt to succeed.,努力尝试成功。
attention,gt,"注意,注意力",focus of the mind,/əˈtɛnʃən/,把眼睛和脑子都收回来，集中到一件事上。,Pay attention to me.,注意听我说。
attraction,gt,"吸引,吸引力",the quality of drawing interest,/əˈtɹækʃən/,某物像在拉人靠近，让人想看想去想拥有。,The park is a main attraction.,公园是主要景点。
authority,gt,"权威,当局",power to make decisions,/əˈθɔɹəti/,有资格发话、拍板、让别人照做的力量。,The authority approved it.,当局批准了。
back,gt,背部;后面,the rear part of a body,/bæk/,身体或东西朝后的那一面，常用来支撑和承受。,My back is sore.,我背疼。
balance,gt,平衡,equal weight or stability,/ˈbæləns/,两边重量或力量相互抵住，身体或物体不倒不偏。,Keep your balance.,保持平衡。
base,gt,"基础,基地",the bottom support or origin,/beɪs/,托住上面一切的底部，也是一切开始的落脚点。,The base of the lamp is heavy.,灯的底座很重。
behavior,gt,"行为,举止",way a person acts,/bɪˈheɪvjɝ/,人在别人面前实际做出来的一贯样子和反应。,Good behavior is rewarded.,良好的行为会受奖励。
belief,gt,"信念,信仰",acceptance that something is true,/bɪˈlif/,心里认定某事是真的，并用它来站住和判断。,It is my belief that he's right.,我相信他是对的。
birth,gt,"出生,诞生",the beginning of life,/bɝθ/,生命从母体或源头出来，开始在世上存在。,The birth of the baby was peaceful.,宝宝平静地出生了。
bit,gt,"一点儿,小块",a small piece or amount,/bɪt/,从整体上掰下来的一小块，或一点点量。,Give me a bit of bread.,给我一点面包。
bite,gt,"咬,一口",act of cutting with teeth,/baɪt/,用牙把东西夹住切开，也是一口咬下的量。,Take a bite of the apple.,咬一口苹果。
blood,gt,血液,red liquid in the body,/blʌd/,身体里流动的红色生命液，把人维持活着。,Blood flows through veins.,血液流经血管。
blow,gt,吹;打击,a strong hit or air movement,/bloʊ/,突然来的重击，或一股有力冲出的空气。,The blow knocked him down.,那一击把他打倒了。
body,gt,身体,the physical form of a person,/ˈbɑdi/,人或动物能被触摸到、会行动的整个肉身形体。,Exercise keeps the body strong.,运动让身体强壮。
brass,gt,黄铜,yellow metal made of copper and zinc,/bɹæs/,偏黄发亮的硬金属，常做把手、乐器和装饰。,The door handle is brass.,门把手是黄铜的。
bread,gt,面包,food made from flour and water,/bɹɛd/,把面和水做成团，再烤熟成为能吃的日常食物。,Bread and butter for breakfast.,早餐吃面包和黄油。
breath,gt,呼吸,air taken into the lungs,/bɹɛθ/,空气进出胸口和肺里的那一下生命动作。,Take a deep breath.,深吸一口气。
brother,gt,兄弟,a male sibling,/ˈbɹʌðɝ/,和自己同父母或同家庭长大的男性同辈亲人。,My brother is older than me.,我哥哥比我大。
building,gt,建筑物,a structure with walls and roof,/ˈbɪldɪŋ/,用墙、顶和空间搭起来，供人进入使用的物体。,The tall building has 30 floors.,这座高楼有30层。
burn,gt,燃烧;烧伤,injury or destruction by fire,/bɝn/,火或高热伤到皮肤，也会把东西烧焦烧坏。,The burn on her hand healed.,她手上的烧伤好了。
burst,gt,"爆裂,突发",sudden breaking or outburst,/bɝst/,里面的压力一下冲破外壳，突然爆开或冒出。,A burst of laughter filled the room.,屋里突然爆发出笑声。
business,gt,"生意,事务",work or commercial activity,/ˈbɪznəs/,围着工作、买卖和各种事务持续运转的一摊事。,Business is good this year.,今年生意很好。
butter,gt,黄油,fatty food made from milk,/ˈbʌtɝ/,从奶里做出的柔软油脂，常抹在食物上。,Spread butter on the bread.,在面包上抹黄油。
canvas,gt,帆布,strong cloth used for tents or painting,/ˈkænvəs/,厚实耐拉的布，可撑帐篷，也可承接画面。,The painter prepared the canvas.,画家准备好画布。
care,gt,"关心,照料",attention to needs and safety,/kɛɹ/,把心思放在某人某事上，照看它别出问题。,Take care of yourself.,照顾好自己。
cause,gt,原因,what makes something happen,/kɑz/,躲在前面推动事情发生的那股来由和力量。,What is the cause of this?,这是什么原因?
chalk,gt,粉笔,soft white stone for writing,/tʃɑk/,一碰黑板就留下白粉痕迹、容易磨掉的软石笔。,Write on the board with chalk.,用粉笔在黑板上写。
chance,gt,"机会,可能",possibility or opportunity,/tʃæns/,事情可能发生的一道开口，也是一回可试的机会。,Give me a chance.,给我一个机会。
change,gt,改变,becoming different,/tʃeɪndʒ/,原来的样子被移动或改动，变成另一个样子。,A change of plan is needed.,需要改变计划。
cloth,gt,"布,布料",material made by weaving,/klɔθ/,许多线被织在一起，形成可裁可盖的柔软材料。,Wipe the table with this cloth.,用这块布擦桌子。
coal,gt,煤,black rock used as fuel,/koʊl/,黑色可燃的地下石块，烧起来能给出热和火。,Coal is burned for heat.,煤被烧来取暖。
color,gt,颜色,"what we see as red, blue, etc.",/ˈkʌlɝ/,眼睛看到物体表面时分出的红蓝明暗等样子。,What's your favorite color?,你最喜欢什么颜色?
comfort,gt,"舒适,安慰",physical ease or solace,/ˈkʌmfɝt/,身体或心里被安放好，不紧绷也不难受。,This chair gives me comfort.,这把椅子让我舒适。
committee,gt,委员会,a group chosen for a task,/kəˈmɪti/,为一件事被选出来一起商量和决定的一群人。,The committee voted yes.,委员会投了赞成票。
company,gt,公司;陪伴,a business or being with others,/ˈkʌmpəˌni/,一群人一起做买卖，也可指有人在身边相伴。,She works for a tech company.,她在一家科技公司工作。
comparison,gt,比较,looking at similarities and differences,/kəmˈpɛɹəsən/,把两样东西并排放着看，找出哪里像、哪里不像。,"By comparison, this is cheaper.","相比之下,这个更便宜。"
